S	$
Prog	PROGRAM, CLASS, INTDC, FLOATDC, ID, $
Cdcl	PROGRAM, INTDC, FLOATDC, ID
Inh	OCBR
Minh	OCBR
AD	IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
BD	ID, EQUALS, IF, FOR, GET, PUT, RETURN, CCBR
CD	IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
TidD	COMM, OSBR, CBR
Fpara	CBR
Asiz	COMM, SCOL, CBR
Fparat	CBR
Fdef	PROGRAM
Fbod	SCOL
Fhea	SCOL, OCBR
Hed	OBR 
Stmt	CCBR, ELSE, SCOL
Astat	CBR, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
Sblok	ELSE, SCOL
Sign	INT, FLOAT, OBR, NOT, ID, PLUS, MINUS
Asop	INT, FLOAT, OBR, NOT, ID, PLUS, MINUS
Rexpr	SCOL
Expr	COMM, SCOL, CBR, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
ExprD	COMM, SCOL, CBR, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
Rop	INT, FLOAT, OBR, NOT, ID, PLUS, MINUS
Aexpr	CSBR, CBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
AexprD	CSBR, CBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
Add	INT, FLOAT, OBR, NOT, ID, PLUS, MINUS
Term	PLUS, MINUS, OR, CSBR, CBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
TermD	PLUS, MINUS, OR, CSBR, CBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
Mult	INT, FLOAT, OBR, NOT, ID, PLUS, MINUS
Fact	MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, CBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, SCOL, IF, FOR, GET, PUT, RETURN, EQUALS, CCBR, ID
IDD	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
B	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
C	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
D	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
E	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
F	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
G	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
H	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
I	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
J	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
IDn	EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
Var	
Ind	PER, EQUALS, CBR, SCOL, OBR, OSBR, ID, DCOL, MULT, SLASH, AND, PLUS, MINUS, OR, CSBR, COMPARISON, DNE, LT, GT, LTE, GTE, COMM, IF, FOR, GET, PUT, RETURN, CCBR
Type	ID, OBR, DCOL
Apara	CBR
Aparat	CBR
