x	0	PROGRAM	SCOL	CLASS	ID	OCBR	CCBR	COL	COMA	OBR	CBR	OSBR	INT	CSBR	DCOL	IF	THEN	ELSE	FOR	GET	PUT	RETURN	PLUS	MINUS	EQUALS	COMPARISON	DNE	LT	GT	LTE	GTE	OR	MULT	SLASH	AND	FLOAT	NOT	SIGN 	PER	INTDC	FLOATDC	$
S	0	1	110	1	1	110	110	110	110	1	1	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	3	3	2 
Prog	 0	3	109	3	3	110	110	110	110	3	3	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	3	3	109
Cdcl	 0	5	110	4	5	109	110	110	110	5	5	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	5	109	110
Inh	 0	109	110	110	110	7	110	6	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
Minh	 0	109	110	110	110	9	110	110	8	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
AD	 0	109	110	110	10	110	12	110	110	10	110	110	110	110	110	12	110	12	12	12	12	12	12	12	110	110	12	110	110	110	110	12	110	110	110	110	110	110	110	10	10	110
BD	 0	109	13	110	109	109	109	110	110	14	17	13	110	13	110	110	110	109	109	109	109	109	63	63	16	110	109	110	110	110	110	63	110	110	110	110	110	110	110	109	109	110
CD	 0	109	13	110	107	110	17	110	110	110	17	110	110	110	110	34	110	17	35	36	37	38	17	17	110	110	17	110	110	110	110	17	110	110	110	110	110	110	110	10	10	110
TidD	 0	109	7	110	18	110	110	110	7	7	7	7	109	109	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	18	18	110
Fpara	 0	109	110	110	19	110	110	110	23	19	20	110	20	109	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	19	19	110
Asiz	 0	109	22	110	92	110	110	110	22	32	22	21	22	21	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
Fparat	 0	109	110	110	110	110	110	110	23	110	24	110	24	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
Fdef	 0	26	110	110	25	110	110	110	110	25	25	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	25	25	110
Fbod	 0	109	28	110	110	27	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
Fhea	 0	109	109	110	29	109	110	110	110	29	29	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	29	29	110
Hed	 0	109	110	110	30	110	110	110	110	32	109	32	110	110	31	110	31	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
Stmt	 0	109	39	110	33	110	39	110	110	110	110	110	110	110	110	34	110	110	35	36	37	38	37	38	110	110	33	110	110	110	110	37	110	110	110	110	110	110	110	110	110	110
Astat	 0	109	109	110	94	110	109	110	68	110	110	110	109	110	110	110	110	109	110	110	109	109	109	109	40	110	40	110	110	110	110	109	110	110	110	110	110	110	110	110	110	110
Sblok	 0	109	48	110	42	41	48	110	110	110	110	110	110	64	110	43	110	17	44	45	46	47	46	47	110	110	110	110	110	110	110	46	110	110	110	110	110	110	110	110	110	110
Sign	 0	109	110	110	109	110	110	110	110	110	110	109	110	110	109	110	110	110	110	110	110	110	49	50	49	50	110	110	110	110	110	49	110	110	110	110	110	109	109	110	110	110
Asop	 0	109	109	110	94	110	110	110	110	110	110	109	110	110	109	110	110	110	110	110	110	110	110	110	51	109	51	110	110	110	110	110	110	110	110	110	110	109	109	110	110	110
Rexpr	 0	109	109	110	52	110	110	110	110	110	110	52	52	110	52	110	110	110	110	110	110	110	110	110	52	52	110	110	110	110	110	110	110	110	110	110	110	52	52	110	52	110
Expr	 0	109	109	110	53	110	109	110	109	53	53	110	53	110	53	110	110	109	110	110	109	109	109	109	53	53	109	110	110	110	110	109	110	110	110	53	110	53	53	110	110	110
ExprD	 0	109	54	110	54	110	54	110	54	110	54	110	54	110	110	110	110	54	109	109	54	54	63	63	110	55	55	55	55	55	55	63	69	69	69	110	110	110	110	110	110	110
Rop	 0	109	110	110	109	110	109	110	110	110	110	109	110	110	109	110	110	110	110	110	110	110	110	110	109	56	57	58	59	60	61	110	110	110	110	110	110	109	109	110	110	110
Aexpr	 0	109	109	110	62	110	109	110	109	62	62	62	62	62	62	109	110	109	109	109	109	109	109	109	62	62	109	109	109	109	109	109	109	110	110	62	110	62	62	110	110	110
AexprD	 0	109	70	110	70	110	70	110	70	110	70	110	70	70	110	70	110	70	9	109	70	70	63	63	63	64	64	64	64	64	64	63	69	69	69	110	110	110	110	110	110	110
Add	 0	109	110	110	109	110	110	110	110	110	110	109	110	110	109	110	110	110	110	110	110	110	65	66	65	66	110	110	110	110	110	67	110	67	110	110	110	109	109	110	110	110
Term	 0	109	109	110	68	110	109	110	109	68	68	68	68	70	68	109	110	109	110	110	109	109	109	109	68	68	109	109	109	109	109	109	109	109	1109	68	110	68	68	110	110	110
TermD	 0	109	70	110	70	110	70	110	70	86	70	110	70	70	110	70	110	70	109	109	70	70	68	68	70	70	70	70	70	70	70	39	69	69	69	69	69	110	110	110	110	110
Mult	 0	109	109	110	109	110	110	110	110	110	110	109	110	110	109	110	110	110	110	110	110	110	110	110	109	109	110	110	110	110	110	110	71	72	73	72	73	109	109	110	110	110
Fact	 0	109	110	110	74	110	109	110	109	77	74	77	75	110	75	109	110	109	110	110	109	109	79	79	79	79	109	109	109	109	109	39	109	109	109	76	78	79	78	110	110	110
IDD	 0	109	83	110	80	110	109	110	109	110	84	84	109	109	110	109	109	109	110	110	109	109	109	109	84	109	109	109	109	109	109	109	109	109	109	109	109	110	110	110	110	110
B	 0	109	81	110	92	110	109	110	83	82	81	81	83	81	110	83	83	83	110	110	83	83	81	81	81	83	81	81	81	81	81	81	81	81	81	83	83	110	81	81	110	110
